instance_id,tariff_id,tier,treatment,alpha,peak_window_kwh,charging_cost,route_similarity,buses,deadhead_kwh
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0.0,10.0,5.992,,2,2.0
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0.25,10.0,6.39415812923214,,2,2.0
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0.5,10.0,6.79631625846428,,2,2.0
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,1.0,10.0,7.60063251692856,,2,2.0
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,2.0,10.0,9.209265033857118,,2,2.0
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0.0,8.0,4.7936000000000005,,2,1.6
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0.25,8.0,5.115326503385712,,2,1.6
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0.5,8.0,5.437053006771425,,2,1.6
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,1.0,8.0,6.080506013542848,,2,1.6
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,2.0,8.0,7.367412027085695,,2,1.6
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,0.0,6.0,3.5951999999999997,0.0,1,1.2
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,0.25,6.0,3.8364948775392835,0.0,1,1.2
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,0.5,6.0,4.077789755078568,0.0,1,1.2
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,1.0,6.0,4.560379510157135,0.0,1,1.2
SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,2.0,6.0,5.525559020314271,0.0,1,1.2
